in:Design,in:Glazing ratio,out:Amount of surface energy loss [kWh/m2],out:EUI (SI) (kWh/m2),out:Annual Utility Cost (Euro/m2),out:Percentage of Time Comfortable,out:Percentage of Time Too Hot,out:Percentage of Time Too Cold,out:Amount of Lux average,_Exterior View,_Interior View
Variant 1,30%,0.014,1233.177632,140.026461,65.21,4.86,29.93,328.93,DesignVariant1_Glazingratio30__Perspective.png,DesignVariant1_Glazingratio30__Parallel.png
Variant 2,30%,0.024,1732.268109,211.567105,73.97,2.95,23.08,189.36,DesignVariant2_Glazingratio30__Perspective.png,DesignVariant2_Glazingratio30__Parallel.png
Variant 3,30%,0.013,1188.06885,133.102562,64.47,4.39,31.14,317.52,DesignVariant3_Glazingratio30__Perspective.png,DesignVariant3_Glazingratio30__Parallel.png
Variant 4,30%,0.021,1641.138226,198.808877,74.05,2.89,23.06,178.35,DesignVariant4_Glazingratio30__Perspective.png,DesignVariant4_Glazingratio30__Parallel.png
Variant 5,30%,0.018,982.900969,133.980275,64.71,0.02,35.26,267.42,DesignVariant5_Glazingratio30__Perspective.png,DesignVariant5_Glazingratio30__Parallel.png
Variant 1,40%,0.02,1412.139214,165.081083,64.86,5.31,29.83,361.52,DesignVariant1_Glazingratio40__Perspective.png,DesignVariant1_Glazingratio40__Parallel.png
Variant 2,40%,0.04,2106.565982,263.968807,73.5,3.25,23.25,261.17,DesignVariant2_Glazingratio40__Perspective.png,DesignVariant2_Glazingratio40__Parallel.png
Variant 3,40%,0.017,1339.341697,154.280761,64.1,4.71,31.18,345.7,DesignVariant3_Glazingratio40__Perspective.png,DesignVariant3_Glazingratio40__Parallel.png
Variant 4,40%,0.036,1983.52243,246.742666,73.57,3.22,23.2,246.44,DesignVariant4_Glazingratio40__Perspective.png,DesignVariant4_Glazingratio40__Parallel.png
Variant 5,40%,0.025,1255.309693,172.117496,65.64,0.43,33.93,358.36,DesignVariant5_Glazingratio40__Perspective.png,DesignVariant5_Glazingratio40__Parallel.png
Variant 1,50%,0.027,1593.28674,190.441736,64.49,5.68,29.83,395.27,DesignVariant1_Glazingratio50__Perspective.png,DesignVariant1_Glazingratio50__Parallel.png
Variant 2,50%,0.064,2483.53243,316.74411,72.74,3.64,23.62,326.37,DesignVariant2_Glazingratio50__Perspective.png,DesignVariant2_Glazingratio50__Parallel.png
Variant 3,50%,0.023,1492.545539,175.729298,63.72,5,31.28,373.95,DesignVariant3_Glazingratio50__Perspective.png,DesignVariant3_Glazingratio50__Parallel.png
Variant 4,50%,0.059,2327.769201,294.937214,72.89,3.56,23.56,311.62,DesignVariant4_Glazingratio50__Perspective.png,DesignVariant4_Glazingratio50__Parallel.png
Variant 5,50%,0.033,1530.587159,210.656341,65.9,0.82,33.28,451.81,DesignVariant5_Glazingratio50__Perspective.png,DesignVariant5_Glazingratio50__Parallel.png
Variant 1,55%,0.052,1686.966649,203.556924,64.42,5.89,29.69,413.65,DesignVariant1_Glazingratio55__Perspective.png,DesignVariant1_Glazingratio55__Parallel.png
Variant 2,55%,0.102,2671.236756,343.022715,72.23,3.92,23.85,355.85,DesignVariant2_Glazingratio55__Perspective.png,DesignVariant2_Glazingratio55__Parallel.png
Variant 3,55%,0.025,1569.818219,186.547474,63.48,5.2,31.32,389.16,DesignVariant3_Glazingratio55__Perspective.png,DesignVariant3_Glazingratio55__Parallel.png
Variant 4,55%,0.068,2501.335511,319.236497,72.41,3.88,23.72,339.38,DesignVariant4_Glazingratio55__Perspective.png,DesignVariant4_Glazingratio55__Parallel.png
Variant 5,55%,0.038,1667.824618,229.869586,66.16,0.83,33,497.38,DesignVariant5_Glazingratio55__Perspective.png,DesignVariant5_Glazingratio55__Parallel.png
Variant 1,60%,0.058,1781.546677,216.798127,64.26,6.03,29.71,426.7,DesignVariant1_Glazingratio60__Perspective.png,DesignVariant1_Glazingratio60__Parallel.png
Variant 2,60%,0.116,2863.388197,369.923917,71.61,4.34,24.05,383.5,DesignVariant2_Glazingratio60__Perspective.png,DesignVariant2_Glazingratio60__Parallel.png
Variant 3,60%,0.027,1646.997474,197.35257,63.32,5.3,31.38,402.95,DesignVariant3_Glazingratio60__Perspective.png,DesignVariant3_Glazingratio60__Parallel.png
Variant 4,60%,0.107,2676.728378,343.791498,71.91,4.22,23.88,368.69,DesignVariant4_Glazingratio60__Perspective.png,DesignVariant4_Glazingratio60__Parallel.png
Variant 5,60%,0.042,1808.511606,249.565764,66.21,0.87,32.92,535.65,DesignVariant5_Glazingratio60__Perspective.png,DesignVariant5_Glazingratio60__Parallel.png
